code,name,glottocode,glottocode_re0
afb,Standard Arabic (Kuwait),,
cat,Catalan (Eastern,Barcelona),Barcelona)
oss,Iron Ossetic,iron1242,iron1242
hrv,Croatian,,
hun,Hungarian (Standard),hung1274,hung1274
kor,Korean (Seoul),seou1239,seou1239
pes,Persian (Tehran),tehr1242,tehr1242
snd,Sindhi (Vicholi),vicc1238,vicc1238
slv,Slovene (Standard),slov1268,slov1268
lzz,Laz (Arhavi),,
oss,Digor Ossetic,,
glg,Galician,gali1258,gali1258
por,Portuguese (Lisbon),,
tha,Thai (Standard),,
frp,Francoprovençal (St. Martin-en-Haut),,
oci,Gascon (Béarnais),bear1240,bear1240
arg,Aragonese (Chistabino),,
jpn,Japanese,nucl1643,nucl1643
spa,Spanish (Castilian),cast1244,cast1244
eus,Basque (Arbizu),,
eus,Basque (Gernika),,
eus,Basque (Ondarroa),,
eus,Basque (Baztan),,
0,Zuberoan Basque,,
eus,Basque (Goizueta),,
frr,Frisian (North),,
sxu,Upper Saxon (Chemnitz),,
mnj,Munji,munj1244,munj1244
azj,North Azerbaijani (Shirvan),,
gdq,Mehri (Oman),,
sah,Sakha (Standard),yaku1245,yaku1245
dlg,Dolgan,dolg1241,dolg1241
azb,South Azerbaijani (Tabriz),tabr1242,tabr1242
dar,Dargwa (Icari),,
nsm,Sumi (Sema),,
klj,Khalaj,turk1303,turk1303
chv,Chuvash,chuv1255,chuv1255
xal,Kalmyk (Standard),kalm1244,kalm1244
tuk,Turkmen (Teke),teke1272,teke1272
vot,Votic (Jõgõperä),,
bak,Bashkir,bash1264,bash1264
sss,So,sooo1254,sooo1254
brv,Bru (Western),west2397,west2397
tat,Tatar (Standard),tata1255,tata1255
kdr,Karaim (Northwestern),nort2691,nort2691
uig,Uyghur (Xinjiang),,
kir,Kyrgyz (Standard),kirg1245,kirg1245
kim,Tofa,tofa1248,tofa1248
gag,Gagauz (Standard),gaga1249,gaga1249
atv,Northern Altai (Kumandy),kuma1284,kuma1284
tyv,Tuvan (Standard),tuvi1240,tuvi1240
kjh,Khakas (Standard),khak1248,khak1248
kum,Kumyk,kumy1244,kumy1244
kaz,Kazakh,kaza1248,kaza1248
kaa,Karakalpak,kara1467,kara1467
nog,Nogai,noga1249,noga1249
uzb,Uzbek,uzbe1247,uzbe1247
cjs,Shor,shor1247,shor1247
krc,Balkar,balk1253,balk1253
clw,Chulym,chul1246,chul1246
vro,Võro,voro1241,voro1241
-,Elfdalian,elfd1234,elfd1234
rue,Rusyn (Lemko),lemk1239,lemk1239
ydd,Eastern Yiddish (Central),east2295,east2295
shv,Jibbali (Central),cent2214,cent2214
